[2023-09-15 18:11:55,727][hydra.utils][INFO] - Instantiating the Trainer
[2023-09-15 18:11:55,751][hydra.utils][INFO] - Starting training!
[2023-09-15 18:20:34,558][hydra.utils][INFO] - Instantiating <cdvae.pl_data.datamodule.CrystDataModule>
[2023-09-15 18:24:40,334][hydra.utils][INFO] - Instantiating <cdvae.pl_modules.model.CDVAE>
[2023-09-15 18:24:50,702][hydra.utils][INFO] - Passing scaler from datamodule to model <StandardScalerTorch(means: 0.06824804097414017, stds: 0.09017515182495117)>
[2023-09-15 18:24:50,703][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2023-09-15 18:24:50,703][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2023-09-15 18:24:50,704][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2023-09-15 18:24:50,706][hydra.utils][INFO] - Instantiating <WandbLogger>
[2023-09-15 18:24:50,706][hydra.utils][INFO] - W&B is now watching <{cfg.logging.wandb_watch.log}>!
[2023-09-15 18:25:01,199][hydra.utils][INFO] - Instantiating the Trainer
[2023-09-15 18:25:01,221][hydra.utils][INFO] - Starting training!
[2023-09-15 19:00:04,748][hydra.utils][INFO] - Instantiating <cdvae.pl_data.datamodule.CrystDataModule>
[2023-09-15 19:04:55,855][hydra.utils][INFO] - Instantiating <cdvae.pl_modules.model.CDVAE>
[2023-09-15 19:05:06,118][hydra.utils][INFO] - Passing scaler from datamodule to model <StandardScalerTorch(means: 0.07079976797103882, stds: 0.09032513946294785)>
[2023-09-15 19:05:06,119][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2023-09-15 19:05:06,119][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2023-09-15 19:05:06,120][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2023-09-15 19:05:06,122][hydra.utils][INFO] - Instantiating <WandbLogger>
[2023-09-15 19:05:06,122][hydra.utils][INFO] - W&B is now watching <{cfg.logging.wandb_watch.log}>!
[2023-09-15 19:05:11,620][hydra.utils][INFO] - Instantiating the Trainer
[2023-09-15 19:05:11,644][hydra.utils][INFO] - Starting training!
[2023-09-15 19:14:19,810][hydra.utils][INFO] - Instantiating <cdvae.pl_data.datamodule.CrystDataModule>
[2023-09-15 19:19:20,840][hydra.utils][INFO] - Instantiating <cdvae.pl_modules.model.CDVAE>
